Started,County,AcresBurned,Injuries,Fatalities,StructuresDestroyed,StructuresDamaged,PropetyValue Damage,Drought Index,Precipitation,Temperature,Heating Degree Days,Cooling Degree Days
201307,Modoc,502.0,0.0,0.0,0.0,0.0,0.0,-3.51,0.28,78.0,0,289
201306,Sanluisobispo,500.0,0.0,0.0,0.0,0.0,0.0,-3.28,0.38,72.4,22,161
201307,Contracosta,766.0,0.0,0.0,0.0,0.0,0.0,-3.51,0.28,78.0,0,289
201306,Madera,557.0,0.0,0.0,1.0,0.0,150000.0,-3.28,0.38,72.4,22,161
201308,Sanbernardino,863.0,0.0,0.0,0.0,0.0,0.0,-3.23,0.38,74.4,2,235
201302,Inyo,406.0,2.0,0.0,0.0,0.0,0.0,-1.66,0.58,45.3,476,0
201310,Napa,376.0,0.0,0.0,0.0,0.0,0.0,-2.93,0.26,58.5,166,20
201305,Sanbenito,354.0,0.0,0.0,0.0,0.0,0.0,-2.98,0.62,63.8,112,63
201302,Riverside,311.0,0.0,0.0,0.0,0.0,0.0,-1.66,0.58,45.3,476,0
201310,Butte,305.0,0.0,0.0,4.0,0.0,993320.0,-2.93,0.26,58.5,166,20
201305,Sanjoaquin,303.0,0.0,0.0,0.0,0.0,0.0,-2.98,0.62,63.8,112,63
201306,Butte,298.0,0.0,0.0,9.0,0.0,2385000.0,-3.28,0.38,72.4,22,161
201301,Lake,296.0,0.0,0.0,0.0,0.0,0.0,-0.8,1.19,42.1,576,0
201304,Madera,274.0,0.0,0.0,0.0,0.0,0.0,-2.83,0.71,58.2,219,22
201309,Losangeles,268.0,0.0,0.0,0.0,0.0,0.0,-2.61,0.77,69.3,21,160
201309,Sandiego,303.0,2.0,0.0,0.0,0.0,0.0,-2.61,0.77,69.3,21,160
201306,Alameda,240.0,0.0,0.0,0.0,0.0,0.0,-3.28,0.38,72.4,22,161
201306,Placer,237.0,0.0,0.0,0.0,0.0,0.0,-3.28,0.38,72.4,22,161
201306,Glenn,226.0,0.0,0.0,0.0,0.0,0.0,-3.28,0.38,72.4,22,161
201305,Glenn,217.0,0.0,0.0,0.0,0.0,0.0,-2.98,0.62,63.8,112,63
201307,Monterey,213.0,0.0,0.0,0.0,0.0,0.0,-3.51,0.28,78.0,0,289
201309,Sanbernardino,273.0,0.0,0.0,0.0,0.0,0.0,-2.61,0.77,69.3,21,160
201307,Tehama,395.0,0.0,0.0,0.0,0.0,0.0,-3.51,0.28,78.0,0,289
201308,Shasta,257.0,0.0,0.0,0.0,0.0,0.0,-3.23,0.38,74.4,2,235
201311,Napa,190.0,0.0,0.0,1.0,0.0,528410.0,-3.4,0.99,51.9,303,5
201311,Yolo,163.0,0.0,0.0,0.0,0.0,0.0,-3.4,0.99,51.9,303,5
201307,Sacramento,163.0,0.0,0.0,0.0,0.0,0.0,-3.51,0.28,78.0,0,289
201310,Sonoma,159.0,0.0,0.0,0.0,0.0,0.0,-2.93,0.26,58.5,166,20
201307,Sonoma,158.0,0.0,0.0,0.0,0.0,0.0,-3.51,0.28,78.0,0,289
201310,Alameda,150.0,0.0,0.0,0.0,0.0,0.0,-2.93,0.26,58.5,166,20
201307,Stanislaus,150.0,0.0,0.0,0.0,0.0,0.0,-3.51,0.28,78.0,0,289
201306,Fresno,339.0,0.0,0.0,0.0,0.0,0.0,-3.28,0.38,72.4,22,161
201305,Butte,222.0,0.0,0.0,0.0,0.0,0.0,-2.98,0.62,63.8,112,63
201309,Tulare,134.0,0.0,0.0,0.0,0.0,0.0,-2.61,0.77,69.3,21,160
201305,Sonoma,125.0,0.0,0.0,0.0,0.0,0.0,-2.98,0.62,63.8,112,63
201306,Solano,152.0,0.0,0.0,0.0,0.0,0.0,-3.28,0.38,72.4,22,161
201306,Merced,124.0,0.0,0.0,0.0,0.0,0.0,-3.28,0.38,72.4,22,161
201311,Lake,193.0,0.0,0.0,1.0,0.0,143330.0,-3.4,0.99,51.9,303,5
201308,Eldorado,154.0,0.0,0.0,1.0,0.0,355840.0,-3.23,0.38,74.4,2,235
201306,Monterey,105.0,0.0,0.0,0.0,0.0,0.0,-3.28,0.38,72.4,22,161
201308,Losangeles,100.0,0.0,0.0,0.0,0.0,0.0,-3.23,0.38,74.4,2,235
201306,Tuolumne,100.0,0.0,0.0,0.0,0.0,0.0,-3.28,0.38,72.4,22,161
201309,Mendocino,98.0,0.0,0.0,0.0,0.0,0.0,-2.61,0.77,69.3,21,160
201309,Modoc,165.0,0.0,0.0,0.0,0.0,0.0,-2.61,0.77,69.3,21,160
201308,Lassen,97.0,0.0,0.0,0.0,0.0,0.0,-3.23,0.38,74.4,2,235
201306,Amador,96.0,0.0,0.0,0.0,0.0,0.0,-3.28,0.38,72.4,22,161
201309,Sanluisobispo,94.0,0.0,0.0,0.0,0.0,0.0,-2.61,0.77,69.3,21,160
201305,Madera,106.0,0.0,0.0,1.0,0.0,142000.0,-2.98,0.62,63.8,112,63
201307,Sanluisobispo,85.0,0.0,0.0,0.0,0.0,0.0,-3.51,0.28,78.0,0,289
201311,Mendocino,82.0,0.0,0.0,0.0,0.0,0.0,-3.4,0.99,51.9,303,5
201304,Fresno,80.0,0.0,0.0,0.0,0.0,0.0,-2.83,0.71,58.2,219,22
201309,Tehama,75.0,0.0,0.0,0.0,0.0,0.0,-2.61,0.77,69.3,21,160
201307,Sanbernardino,75.0,0.0,0.0,0.0,0.0,0.0,-3.51,0.28,78.0,0,289
201305,Sanbernardino,75.0,1.0,0.0,1.0,0.0,170090.0,-2.98,0.62,63.8,112,63
201304,Napa,75.0,0.0,0.0,0.0,0.0,0.0,-2.83,0.71,58.2,219,22
201307,Yuba,73.0,0.0,0.0,0.0,0.0,0.0,-3.51,0.28,78.0,0,289
201308,Lake,108.0,0.0,0.0,0.0,0.0,0.0,-3.23,0.38,74.4,2,235
