Started,County,AcresBurned,Injuries,Fatalities,StructuresDestroyed,StructuresDamaged,PropetyValue Damage,Drought Index,Precipitation,Temperature,Heating Degree Days,Cooling Degree Days
201711,Mono,370.0,0.0,0.0,0.0,0.0,0.0,-0.46,2.59,40.6,731,0
201707,Contracosta,601.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,75.3,0,319
201708,Kern,388.0,0.0,0.0,0.0,0.0,0.0,-0.48,0.05,81.9,0,525
201708,Sanbernardino,325.0,0.0,0.0,0.0,0.0,0.0,-0.41,0.36,87.0,0,682
201707,Delnorte,319.0,0.0,0.0,0.0,0.0,0.0,-0.67,0.0,68.2,10,109
201712,Riverside,404.0,0.0,0.0,0.0,0.0,0.0,-1.95,0.0,57.2,252,10
201712,Sanbernardino,294.0,0.0,0.0,0.0,0.0,0.0,-2.1,0.0,53.0,376,0
201709,Sanluisobispo,569.0,0.0,0.0,0.0,0.0,0.0,-0.65,0.26,70.0,8,158
201709,Fresno,347.0,0.0,0.0,0.0,0.0,0.0,-0.51,0.45,67.2,39,104
201707,Eldorado,476.0,0.0,0.0,0.0,0.0,0.0,-0.99,0.01,74.5,0,298
201705,Sanluisobispo,609.0,0.0,0.0,0.0,0.0,0.0,-0.15,0.36,62.4,118,36
201707,Riverside,751.0,0.0,0.0,0.0,0.0,0.0,0.16,0.1,89.3,0,752
201709,Lake,279.0,0.0,0.0,0.0,0.0,0.0,-1.92,0.04,69.3,15,143
201708,Alameda,244.0,0.0,0.0,0.0,0.0,0.0,-0.29,0.01,72.1,0,221
201708,Sandiego,262.0,0.0,0.0,0.0,0.0,0.0,-1.12,0.49,77.8,0,396
201710,Tehama,224.0,0.0,0.0,0.0,0.0,0.0,-2.07,0.78,62.2,134,46
201705,Santabarbara,190.0,0.0,0.0,0.0,0.0,0.0,-1.22,0.39,59.7,177,12
201710,Kern,417.0,0.0,0.0,0.0,0.0,0.0,-0.68,0.01,64.9,88,84
201707,Shasta,335.0,0.0,0.0,5.0,0.0,1275000.0,-1.55,0.0,77.1,0,374
201706,Sierra,168.0,0.0,0.0,0.0,0.0,0.0,-0.72,0.64,60.7,158,27
201709,Alameda,177.0,0.0,0.0,0.0,0.0,0.0,-0.55,0.06,70.9,0,182
201705,Madera,150.0,0.0,0.0,0.0,0.0,0.0,-0.34,0.33,61.2,166,47
201704,Sanbernardino,150.0,0.0,0.0,0.0,0.0,0.0,-0.48,0.02,65.5,101,117
201710,Trinity,148.0,0.0,0.0,0.0,0.0,0.0,-2.13,1.28,54.5,325,0
201709,Mendocino,146.0,3.0,0.0,0.0,0.0,0.0,-1.94,0.21,67.4,20,93
201709,Butte,183.0,0.0,0.0,0.0,0.0,0.0,-1.41,0.41,71.9,9,216
201709,Eldorado,136.0,0.0,0.0,0.0,0.0,0.0,-0.99,0.95,64.8,80,75
201707,Losangeles,135.0,0.0,0.0,0.0,0.0,0.0,-3.01,0.01,79.1,0,438
201706,Butte,357.0,0.0,0.0,0.0,0.0,0.0,-0.67,0.92,74.1,7,282
201710,Calaveras,130.0,0.0,0.0,4.0,0.0,1192000.0,-1.66,0.54,62.6,128,52
201709,Sandiego,155.0,0.0,0.0,0.0,0.0,0.0,-1.14,0.19,71.7,8,210
201705,Riverside,244.0,0.0,0.0,0.0,0.0,0.0,0.45,0.22,72.7,16,253
201707,Calaveras,198.0,0.0,0.0,0.0,0.0,0.0,-0.83,0.0,78.8,0,427
201710,Alameda,116.0,0.0,0.0,0.0,0.0,0.0,-1.1,0.21,63.9,78,42
201708,Napa,114.0,0.0,0.0,0.0,0.0,0.0,-0.72,0.0,74.9,0,306
